MHC,Identity,WB,"NA",SB,total,SB_pct,WB_pct,Binder_pct
HLA-DPA10103-DPB10901,csp-36,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-39,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-4,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-46,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-47,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-53,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-55,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-68,1,95,0,96,0,0.010416666666666666,0.010416666666666666
HLA-DPA10103-DPB10901,csp-7,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-8,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-94,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp-99,0,96,0,96,0,0,0
HLA-DPA10103-DPB10901,csp_reference,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-1,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-10,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-11,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-111,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-117,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-12,2,94,0,96,0,0.020833333333333332,0.020833333333333332
HLA-DPA10103-DPB11001,csp-15,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-16,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-18,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-19,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-22,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-27,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-31,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-32,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-35,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-36,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-39,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-4,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-46,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-47,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-53,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-55,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-68,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-7,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-8,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-94,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp-99,0,96,0,96,0,0,0
HLA-DPA10103-DPB11001,csp_reference,0,96,0,96,0,0,0
HLA-DPA10103-DPB110501,csp-1,2,94,0,96,0,0.020833333333333332,0.020833333333333332
