Record ID, Country, Match
HM582064.1, INDIA: MADHYA PRADESH, 0
HM582063.1, INDIA: MADHYA PRADESH, 0
HM582062.1, INDIA: MADHYA PRADESH, 0
HM582061.1, INDIA: MADHYA PRADESH, 0
HM582060.1, INDIA: MADHYA PRADESH, 0
HM582059.1, INDIA: MADHYA PRADESH, 0
HM582058.1, INDIA: MADHYA PRADESH, 0
HM582057.1, INDIA: MADHYA PRADESH, 0
HM582056.1, INDIA: MADHYA PRADESH, 0
HM582055.1, INDIA: MADHYA PRADESH, 0
HM582054.1, INDIA: MADHYA PRADESH, 0
HM582053.1, INDIA: MADHYA PRADESH, 0
HM582052.1, INDIA: MADHYA PRADESH, 0
HM582051.1, INDIA: MADHYA PRADESH, 0
HM582050.1, INDIA: MADHYA PRADESH, 0
HM582049.1, INDIA: MADHYA PRADESH, 0
HM582048.1, INDIA: MADHYA PRADESH, 0
HM582047.1, INDIA: MADHYA PRADESH, 0
HM582046.1, INDIA: MADHYA PRADESH, 0
HM582045.1, INDIA: MADHYA PRADESH, 0
HM582044.1, INDIA: MADHYA PRADESH, 0
HM582043.1, INDIA: MADHYA PRADESH, 0
HM582042.1, INDIA: MADHYA PRADESH, 0
HM582041.1, INDIA: MADHYA PRADESH, 0
HM582040.1, INDIA: MADHYA PRADESH, 0
HM582039.1, INDIA: MADHYA PRADESH, 0
HM582038.1, INDIA: MADHYA PRADESH, 0
HM582037.1, INDIA: MADHYA PRADESH, 0
HM582036.1, INDIA: MADHYA PRADESH, 0
M15505.1, ?, ?
K02194.1, ?, ?
AF540488.1, ?, ?
AF540487.1, ?, ?
AF540486.1, ?, ?
AF540485.1, ?, ?
AF540484.1, ?, ?
AF540483.1, ?, ?
AF540482.1, ?, ?
AF540481.1, ?, ?
AF540480.1, ?, ?
AF540479.1, ?, ?
AF540478.1, ?, ?
AF540477.1, ?, ?
AF540476.1, ?, ?
AF540475.1, ?, ?
AF540474.1, ?, ?
AF540473.1, ?, ?
AF540472.1, ?, ?
AF540471.1, ?, ?
AF540470.1, ?, ?
AF540469.1, ?, ?
AF540468.1, ?, ?
AF540467.1, ?, ?
AF540466.1, ?, ?
AF540465.1, ?, ?
AF540464.1, ?, ?
AF540463.1, ?, ?
AF540462.1, ?, ?
AF540461.1, ?, ?
AF540460.1, ?, ?
AF540459.1, ?, ?
AF540458.1, ?, ?
AF540457.1, ?, ?
AF540456.1, ?, ?
AF540455.1, ?, ?
AF540454.1, ?, ?
AF540453.1, ?, ?
AF540452.1, ?, ?
AF540451.1, ?, ?
AF540450.1, ?, ?
AF540449.1, ?, ?
AF540448.1, ?, ?
AF540447.1, ?, ?
AF540446.1, ?, ?
AF540445.1, ?, ?
AF540444.1, ?, ?
AF540443.1, ?, ?
AF540442.1, ?, ?
AF540441.1, ?, ?
DQ286502.1, ?, ?
DQ286501.1, ?, ?
DQ286500.1, ?, ?
DQ286499.1, ?, ?
DQ286498.1, ?, ?
JX885521.1, ?, ?
JX885520.1, ?, ?
JX885519.1, ?, ?
JX885518.1, ?, ?
JX885517.1, ?, ?
JX885516.1, ?, ?
JX885515.1, ?, ?
JX885514.1, ?, ?
JX885513.1, ?, ?
JX885512.1, ?, ?
JX885511.1, ?, ?
M23185.1, ?, ?
M19752.1, ?, ?
MT009269.1, SENEGAL: THIES, 1
MT009268.1, SENEGAL: THIES, 1
