SampleID	SampleName	MarkerID	BarcodePair	ReadNumbers	FileR1	FileR2
cc005-2_S13	cc005-2_S13	csp		0	data/cc005-2_S13_L001_R1_001.fastq.gz	data/cc005-2_S13_L001_R2_001.fastq.gz
cc006-1_S34	cc006-1_S34	msp1		0	data/cc006-1_S34_L001_R1_001.fastq.gz	data/cc006-1_S34_L001_R2_001.fastq.gz
cc006-2_S14	cc006-2_S14	csp		0	data/cc006-2_S14_L001_R1_001.fastq.gz	data/cc006-2_S14_L001_R2_001.fastq.gz
cc007-1_S35	cc007-1_S35	msp1		0	data/cc007-1_S35_L001_R1_001.fastq.gz	data/cc007-1_S35_L001_R2_001.fastq.gz
cc007-2_S15	cc007-2_S15	csp		0	data/cc007-2_S15_L001_R1_001.fastq.gz	data/cc007-2_S15_L001_R2_001.fastq.gz
cc008-1_S36	cc008-1_S36	msp1		0	data/cc008-1_S36_L001_R1_001.fastq.gz	data/cc008-1_S36_L001_R2_001.fastq.gz
cc008-2_S16	cc008-2_S16	csp		0	data/cc008-2_S16_L001_R1_001.fastq.gz	data/cc008-2_S16_L001_R2_001.fastq.gz
cc009-1_S37	cc009-1_S37	msp1		0	data/cc009-1_S37_L001_R1_001.fastq.gz	data/cc009-1_S37_L001_R2_001.fastq.gz
cc009-2_S17	cc009-2_S17	csp		0	data/cc009-2_S17_L001_R1_001.fastq.gz	data/cc009-2_S17_L001_R2_001.fastq.gz
cc010-1_S38	cc010-1_S38	msp1		0	data/cc010-1_S38_L001_R1_001.fastq.gz	data/cc010-1_S38_L001_R2_001.fastq.gz
cc010-2_S18	cc010-2_S18	csp		0	data/cc010-2_S18_L001_R1_001.fastq.gz	data/cc010-2_S18_L001_R2_001.fastq.gz
cc011-1_S39	cc011-1_S39	msp1		0	data/cc011-1_S39_L001_R1_001.fastq.gz	data/cc011-1_S39_L001_R2_001.fastq.gz
cc011-2_S19	cc011-2_S19	csp		0	data/cc011-2_S19_L001_R1_001.fastq.gz	data/cc011-2_S19_L001_R2_001.fastq.gz
cc012-1_S40	cc012-1_S40	msp1		0	data/cc012-1_S40_L001_R1_001.fastq.gz	data/cc012-1_S40_L001_R2_001.fastq.gz
cc012-2_S20	cc012-2_S20	csp		0	data/cc012-2_S20_L001_R1_001.fastq.gz	data/cc012-2_S20_L001_R2_001.fastq.gz
cc014-1_S22	cc014-1_S22	msp1		0	data/cc014-1_S22_L001_R1_001.fastq.gz	data/cc014-1_S22_L001_R2_001.fastq.gz
cc014-2_S21	cc014-2_S21	csp		0	data/cc014-2_S21_L001_R1_001.fastq.gz	data/cc014-2_S21_L001_R2_001.fastq.gz
cc015-2_S22	cc015-2_S22	csp		0	data/cc015-2_S22_L001_R1_001.fastq.gz	data/cc015-2_S22_L001_R2_001.fastq.gz
cc016-1_S24	cc016-1_S24	msp1		0	data/cc016-1_S24_L001_R1_001.fastq.gz	data/cc016-1_S24_L001_R2_001.fastq.gz
cc016-2_S23	cc016-2_S23	csp		0	data/cc016-2_S23_L001_R1_001.fastq.gz	data/cc016-2_S23_L001_R2_001.fastq.gz
cc017-1_S25	cc017-1_S25	msp1		0	data/cc017-1_S25_L001_R1_001.fastq.gz	data/cc017-1_S25_L001_R2_001.fastq.gz
cc017-2_S24	cc017-2_S24	csp		0	data/cc017-2_S24_L001_R1_001.fastq.gz	data/cc017-2_S24_L001_R2_001.fastq.gz
cc018-1_S26	cc018-1_S26	msp1		0	data/cc018-1_S26_L001_R1_001.fastq.gz	data/cc018-1_S26_L001_R2_001.fastq.gz
cc018-2_S25	cc018-2_S25	csp		0	data/cc018-2_S25_L001_R1_001.fastq.gz	data/cc018-2_S25_L001_R2_001.fastq.gz
cc019-2_S26	cc019-2_S26	csp		0	data/cc019-2_S26_L001_R1_001.fastq.gz	data/cc019-2_S26_L001_R2_001.fastq.gz
